id	app_id	parent_goal_id	creator_id	hobby_icon	hobby_picture_url	title	description	created_date	level_id	privacy	order	status
58	3	NULL	1	32	hobby_default.png	Autographs		0000-00-00 00:00:00	10	0	1	0
59	3	NULL	1	275	hobby_default.png	Backgammon		0000-00-00 00:00:00	10	0	1	0
60	3	NULL	1	102	hobby_default.png	Backpacking		0000-00-00 00:00:00	10	0	1	0
61	3	NULL	1	120	hobby_default.png	Badge collecting		0000-00-00 00:00:00	10	0	1	0
62	3	NULL	1	303	hobby_default.png	Badminton		0000-00-00 00:00:00	10	0	1	0
63	3	NULL	1	30	hobby_default.png	Bagpipe		0000-00-00 00:00:00	10	0	1	0
64	3	NULL	1	269	hobby_default.png	Baking		0000-00-00 00:00:00	10	0	1	0
65	3	NULL	1	81	hobby_default.png	Baking bread		0000-00-00 00:00:00	10	0	1	0
66	3	NULL	1	193	hobby_default.png	Ballet		0000-00-00 00:00:00	10	0	1	0
67	3	NULL	1	90	hobby_default.png	Ballet dancing		0000-00-00 00:00:00	10	0	1	0
68	3	NULL	1	358	hobby_default.png	Ballroom		0000-00-00 00:00:00	10	0	1	0
69	3	NULL	1	43	hobby_default.png	Ballroom dancing		0000-00-00 00:00:00	10	0	1	0
70	3	NULL	1	334	hobby_default.png	Banjo		0000-00-00 00:00:00	10	0	1	0
71	3	NULL	1	6	hobby_default.png	Barbecue and grilling		0000-00-00 00:00:00	10	0	1	0
72	3	NULL	1	175	hobby_default.png	Base jumping		0000-00-00 00:00:00	10	0	1	0
73	3	NULL	1	74	hobby_default.png	Baseball		0000-00-00 00:00:00	10	0	1	0
74	3	NULL	1	34	hobby_default.png	Baseball/softball		0000-00-00 00:00:00	10	0	1	0
75	3	NULL	1	65	hobby_default.png	Basketball		0000-00-00 00:00:00	10	0	1	0
76	3	NULL	1	124	hobby_default.png	Baton twirling		0000-00-00 00:00:00	10	0	1	0
77	3	NULL	1	162	hobby_default.png	Bboying		0000-00-00 00:00:00	10	0	1	0
78	3	NULL	1	21	hobby_default.png	Beach volleyball		0000-00-00 00:00:00	10	0	1	0
